,Unnamed: 0,Room Description,Guest Room Info,Room Description Expanded,gemini_roomtype_result,pred_text,match,gemini_otherattr_result,attrs,roomType,bedType,ratePlanInclusives,roomAmenities,mealPlan,roomView,taxesAndFees
13134,13134,VIRTUOSO 1BRM OCN VW POOL|ONE BEDROOM VILLA W/ BALCONY   PLUNGE POOL,Villa,VIRTUOSO 1BRM OCEAN VIEW POOL|ONE BEDROOM VILLA WITH/ BALCONY   PLUNGE POOL,"candidates {
  content {
    role: ""model""
    parts {
      text: ""Villa,0.95\n""
    }
  }
  finish_reason: STOP
  avg_logprobs: -0.16817479474203928
}
usage_metadata {
  prompt_token_count: 348
  candidates_token_count: 7
  total_token_count: 355
}
model_version: ""gemini-1.5-flash-002""
",Villa,True,"candidates {
  content {
    role: ""model""
    parts {
      text: ""```json\n{\n  \""roomType\"": \""Villa\"",\n  \""bedType\"": \""Unknown\"",\n  \""ratePlanInclusives\"": [\n    \""Ocean view\"",\n    \""Pool\""\n  ],\n  \""roomAmenities\"": [\n    \""Balcony\"",\n    \""Plunge pool\""\n  ],\n  \""mealPlan\"": \""Unknown\"",\n  \""roomView\"": \""Ocean view\"",\n  \""taxesAndFees\"": \""Unknown\""\n}\n```\n""
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.132964358
    severity: HARM_SEVERITY_LOW
    severity_score: 0.237930074
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.0747700408
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.180106699
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: NEGLIGIBLE
    probability_score: 0.119203046
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.189521432
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: NEGLIGIBLE
    probability_score: 0.0953494832
    severity: HARM_SEVERITY_LOW
    severity_score: 0.225417078
  }
  avg_logprobs: -0.017176828338104546
}
usage_metadata {
  prompt_token_count: 4298
  candidates_token_count: 103
  total_token_count: 4401
}
model_version: ""gemini-1.5-flash-002""
","{'roomType': 'Villa', 'bedType': 'Unknown', 'ratePlanInclusives': 'Ocean view, Pool', 'roomAmenities': 'Balcony, Plunge pool', 'mealPlan': 'Unknown', 'roomView': 'Ocean view', 'taxesAndFees': 'Unknown'}",Villa,Unknown,"Ocean view, Pool","Balcony, Plunge pool",Unknown,Ocean view,Unknown
7794,7794,BRITISH TELECOMMUNI-NEGOTIATED|TWIN ROOM WITH 2 BEDS,Twin Room,BRITISH TELECOMMUNI-NEGOTIATED|TWIN ROOM WITH 2 BEDS,"candidates {
  content {
    role: ""model""
    parts {
      text: ""Twin Room,0.95\n""
    }
  }
  finish_reason: STOP
  avg_logprobs: -0.117018923163414
}
usage_metadata {
  prompt_token_count: 343
  candidates_token_count: 8
  total_token_count: 351
}
model_version: ""gemini-1.5-flash-002""
",Twin Room,True,"candidates {
  content {
    role: ""model""
    parts {
      text: ""```json\n{\n  \""roomType\"": \""Twin Room\"",\n  \""bedType\"": [\""Twin/Single Bed\""],\n  \""ratePlanInclusives\"": [\""Unknown\""],\n  \""roomAmenities\"": [\""Unknown\""],\n  \""mealPlan\"": \""Unknown\"",\n  \""roomView\"": \""Unknown\"",\n  \""taxesAndFees\"": \""Unknown\""\n}\n```\n""
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.0803574324
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.155078605
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.0302146785
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.0994701385
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: NEGLIGIBLE
    probability_score: 0.0534033142
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.140336365
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: NEGLIGIBLE
    probability_score: 0.0815197825
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.169955954
  }
  avg_logprobs: -0.0070200102238715447
}
usage_metadata {
  prompt_token_count: 4293
  candidates_token_count: 79
  total_token_count: 4372
}
model_version: ""gemini-1.5-flash-002""
","{'roomType': 'Twin Room', 'bedType': 'Twin/Single Bed', 'ratePlanInclusives': 'Unknown', 'roomAmenities': 'Unknown', 'mealPlan': 'Unknown', 'roomView': 'Unknown', 'taxesAndFees': 'Unknown'}",Twin Room,Twin/Single Bed,Unknown,Unknown,Unknown,Unknown,Unknown
25853,25853,SEATTLE SPA ESCAPE|PRESIDENTIAL SUITE KING-10TH FLOOR-FREE WIFI,Presidential Suite,SEATTLE SPA ESCAPE|PRESIDENTIAL SUITE KING-10TH FLOOR-FREE WIFI,"candidates {
  content {
    role: ""model""
    parts {
      text: ""Presidential Suite,1.0\n""
    }
  }
  finish_reason: STOP
  avg_logprobs: -0.003364591992327145
}
usage_metadata {
  prompt_token_count: 342
  candidates_token_count: 7
  total_token_count: 349
}
model_version: ""gemini-1.5-flash-002""
",Presidential Suite,True,"candidates {
  content {
    role: ""model""
    parts {
      text: ""```json\n{\n  \""roomType\"": \""Presidential Suite\"",\n  \""bedType\"": \""King Bed\"",\n  \""ratePlanInclusives\"": [\n    \""Free WIFI\""\n  ],\n  \""roomAmenities\"": [],\n  \""mealPlan\"": \""Unknown\"",\n  \""roomView\"": \""Unknown\"",\n  \""taxesAndFees\"": \""Unknown\""\n}\n```\n""
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.0967059061
    severity: HARM_SEVERITY_LOW
    severity_score: 0.218669638
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.046725072
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.138462037
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: NEGLIGIBLE
    probability_score: 0.0769609585
    severity: HARM_SEVERITY_LOW
    severity_score: 0.208179012
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: NEGLIGIBLE
    probability_score: 0.0803574324
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.154057771
  }
  avg_logprobs: -0.0013480711637473687
}
usage_metadata {
  prompt_token_count: 4292
  candidates_token_count: 82
  total_token_count: 4374
}
model_version: ""gemini-1.5-flash-002""
","{'roomType': 'Presidential Suite', 'bedType': 'King Bed', 'ratePlanInclusives': 'Free WIFI', 'roomAmenities': '', 'mealPlan': 'Unknown', 'roomView': 'Unknown', 'taxesAndFees': 'Unknown'}",Presidential Suite,King Bed,Free WIFI,,Unknown,Unknown,Unknown
23704,23704,"MRATE AVAIL SAVOR, THE FRENCH|LUXURY ROOM, 1 KING SIZE BED OR 2 SINGLE SIZE B EDS, SQUARE OR GARDEN VIEW",Luxury Room,"MRATE AVAIL SAVOR, THE FRENCH|LUXURY ROOM, 1 KING SIZE BED OR 2 SINGLE SIZE B EDS, SQUARE OR GARDEN VIEW","candidates {
  content {
    role: ""model""
    parts {
      text: ""Luxury Room,0.95\n""
    }
  }
  finish_reason: STOP
  avg_logprobs: -0.0026426259428262711
}
usage_metadata {
  prompt_token_count: 356
  candidates_token_count: 8
  total_token_count: 364
}
model_version: ""gemini-1.5-flash-002""
",Luxury Room,True,"candidates {
  content {
    role: ""model""
    parts {
      text: ""```json\n{\n  \""roomType\"": \""Luxury Room\"",\n  \""bedType\"": [\""King Bed\"", \""Single Bed\""],\n  \""ratePlanInclusives\"": [\""Unknown\""],\n  \""roomAmenities\"": [\""Unknown\""],\n  \""mealPlan\"": \""Unknown\"",\n  \""roomView\"": [\""Garden view\"", \""Square View\""],\n  \""taxesAndFees\"": \""Unknown\""\n}\n```\n""
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.0900932476
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.180106699
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.0414622091
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.114368707
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: NEGLIGIBLE
    probability_score: 0.060086742
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.148047015
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: NEGLIGIBLE
    probability_score: 0.071591273
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.130285501
  }
  avg_logprobs: -0.015746385552162349
}
usage_metadata {
  prompt_token_count: 4306
  candidates_token_count: 86
  total_token_count: 4392
}
model_version: ""gemini-1.5-flash-002""
","{'roomType': 'Luxury Room', 'bedType': 'King Bed, Single Bed', 'ratePlanInclusives': 'Unknown', 'roomAmenities': 'Unknown', 'mealPlan': 'Unknown', 'roomView': 'Garden view, Square View', 'taxesAndFees': 'Unknown'}",Luxury Room,"King Bed, Single Bed",Unknown,Unknown,Unknown,"Garden view, Square View",Unknown
19681,19681,CELEBRATE IN CHARLESTON|CLUB PREMIER ROOM-1KING-TOP FLOOR CITY VIEWS SITTING AREA-CLUB BENEFITS-COMP WIFI-400SQFT,Premier Room,CELEBRATE IN CHARLESTON|CLUB PREMIER ROOM-1KING-TOP FLOOR CITY VIEWS SITTING AREA-CLUB BENEFITS-COMP WIFI-400SQFT,"candidates {
  content {
    role: ""model""
    parts {
      text: ""Premier Room,0.95\n""
    }
  }
  finish_reason: STOP
  avg_logprobs: -0.00084462936501950026
}
usage_metadata {
  prompt_token_count: 358
  candidates_token_count: 8
  total_token_count: 366
}
model_version: ""gemini-1.5-flash-002""
",Premier Room,True,"candidates {
  content {
    role: ""model""
    parts {
      text: ""```json\n{\n  \""roomType\"": \""Premier Room\"",\n  \""bedType\"": \""King Bed\"",\n  \""ratePlanInclusives\"": [\n    \""Complimentary wireless internet\""\n  ],\n  \""roomAmenities\"": [\n    \""Sitting area\""\n  ],\n  \""mealPlan\"": \""Unknown\"",\n  \""roomView\"": \""City view\"",\n  \""taxesAndFees\"": \""Unknown\""\n}\n```\n""
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.103748769
    severity: HARM_SEVERITY_LOW
    severity_score: 0.224055812
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.0488576852
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.136608809
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: NEGLIGIBLE
    probability_score: 0.0913820341
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.17106095
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: NEGLIGIBLE
    probability_score: 0.0792102143
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.187132955
  }
  avg_logprobs: -0.0056143840576740019
}
usage_metadata {
  prompt_token_count: 4308
  candidates_token_count: 94
  total_token_count: 4402
}
model_version: ""gemini-1.5-flash-002""
","{'roomType': 'Premier Room', 'bedType': 'King Bed', 'ratePlanInclusives': 'Complimentary wireless internet', 'roomAmenities': 'Sitting area', 'mealPlan': 'Unknown', 'roomView': 'City view', 'taxesAndFees': 'Unknown'}",Premier Room,King Bed,Complimentary wireless internet,Sitting area,Unknown,City view,Unknown
17711,17711,UPFRONT SAVINGS|DELUXE CITY ROOM-30-34 SQM-TWIN-CITY VIEW,Deluxe Room,UPFRONT SAVINGS|DELUXE CITY ROOM-30-34 SQM-TWIN-CITY VIEW,"candidates {
  content {
    role: ""model""
    parts {
      text: ""Deluxe Room,0.9\n""
    }
  }
  finish_reason: STOP
  avg_logprobs: -0.23978894097464426
}
usage_metadata {
  prompt_token_count: 348
  candidates_token_count: 7
  total_token_count: 355
}
model_version: ""gemini-1.5-flash-002""
",Deluxe Room,True,"candidates {
  content {
    role: ""model""
    parts {
      text: ""```json\n{\n  \""roomType\"": \""Twin Room\"",\n  \""bedType\"": \""Twin/Single Bed\"",\n  \""ratePlanInclusives\"": [\n    \""City view\""\n  ],\n  \""roomAmenities\"": [],\n  \""mealPlan\"": \""Unknown\"",\n  \""roomView\"": \""City view\"",\n  \""taxesAndFees\"": \""Unknown\""\n}\n```\n""
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.0838904828
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.198064268
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.0402380042
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.117572024
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: NEGLIGIBLE
    probability_score: 0.0726368427
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.156104967
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: NEGLIGIBLE
    probability_score: 0.100878537
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.187132955
  }
  avg_logprobs: -0.0036347950206083411
}
usage_metadata {
  prompt_token_count: 4298
  candidates_token_count: 85
  total_token_count: 4383
}
model_version: ""gemini-1.5-flash-002""
","{'roomType': 'Twin Room', 'bedType': 'Twin/Single Bed', 'ratePlanInclusives': 'City view', 'roomAmenities': '', 'mealPlan': 'Unknown', 'roomView': 'City view', 'taxesAndFees': 'Unknown'}",Twin Room,Twin/Single Bed,City view,,Unknown,City view,Unknown
19055,19055,"TRIPADVISOR PLUS|1 KING BED DELUXE SUITE NSMK WITH SOFABED, FREE CONTINENTAL BREAKFAST, JACUCCI AND FIREPLACE",Deluxe Suite,"TRIPADVISOR PLUS|1 KING BED DELUXE SUITE NON SMOKING WITH SOFABED, FREE CONTINENTAL BREAKFAST, JACUCCI AND FIREPLACE","candidates {
  content {
    role: ""model""
    parts {
      text: ""Deluxe Suite,0.95\n""
    }
  }
  finish_reason: STOP
  avg_logprobs: -0.0007487201364710927
}
usage_metadata {
  prompt_token_count: 358
  candidates_token_count: 8
  total_token_count: 366
}
model_version: ""gemini-1.5-flash-002""
",Deluxe Suite,True,"candidates {
  content {
    role: ""model""
    parts {
      text: ""```json\n{\n  \""roomType\"": \""Deluxe Suite\"",\n  \""bedType\"": [\""King Bed\"", \""Sofa Bed\""],\n  \""ratePlanInclusives\"": [\n    \""Complimentary continental breakfast\""\n  ],\n  \""roomAmenities\"": [\n    \""Jacuzzi\"",\n    \""Fireplace\""\n  ],\n  \""mealPlan\"": \""Continental Breakfast\"",\n  \""roomView\"": \""Unknown\"",\n  \""taxesAndFees\"": \""Unknown\""\n}\n```\n""
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.0913820341
    severity: HARM_SEVERITY_LOW
    severity_score: 0.210766181
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.0414622091
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.130285501
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: NEGLIGIBLE
    probability_score: 0.0609752387
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.173288032
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: NEGLIGIBLE
    probability_score: 0.0685376
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.151027903
  }
  avg_logprobs: -0.0095473877512491662
}
usage_metadata {
  prompt_token_count: 4308
  candidates_token_count: 104
  total_token_count: 4412
}
model_version: ""gemini-1.5-flash-002""
","{'roomType': 'Deluxe Suite', 'bedType': 'King Bed, Sofa Bed', 'ratePlanInclusives': 'Complimentary continental breakfast', 'roomAmenities': 'Jacuzzi, Fireplace', 'mealPlan': 'Continental Breakfast', 'roomView': 'Unknown', 'taxesAndFees': 'Unknown'}",Deluxe Suite,"King Bed, Sofa Bed",Complimentary continental breakfast,"Jacuzzi, Fireplace",Continental Breakfast,Unknown,Unknown
5346,5346,GO EXPLORE|QUEEN ROOM FREE WI-FI/HOT BREAKFAST INCLUDED/HDTV/SAFE,Queen Bedroom,GO EXPLORE|QUEEN ROOM FREE WI-FI/HOT BREAKFAST INCLUDED/HDTV/SAFE,"candidates {
  content {
    role: ""model""
    parts {
      text: ""Queen Bedroom,0.95\n""
    }
  }
  finish_reason: STOP
  avg_logprobs: -0.0013808619696646929
}
usage_metadata {
  prompt_token_count: 345
  candidates_token_count: 8
  total_token_count: 353
}
model_version: ""gemini-1.5-flash-002""
",Queen Bedroom,True,"candidates {
  content {
    role: ""model""
    parts {
      text: ""```json\n{\n  \""roomType\"": \""Queen Bedroom\"",\n  \""bedType\"": \""Queen Bed\"",\n  \""ratePlanInclusives\"": [\n    \""Free WIFI\"",\n    \""Hot Breakfast\""\n  ],\n  \""roomAmenities\"": [\n    \""Wireless internet connection\"",\n    \""High Definition (HD) Flat Panel Television - 32 inches or greater\""\n  ],\n  \""mealPlan\"": \""Breakfast\"",\n  \""roomView\"": \""Unknown\"",\n  \""taxesAndFees\"": \""Unknown\""\n}\n```\n""
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.106690697
    severity: HARM_SEVERITY_LOW
    severity_score: 0.201813355
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.0550053902
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.162380099
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: NEGLIGIBLE
    probability_score: 0.0736965165
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.127652913
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: NEGLIGIBLE
    probability_score: 0.117572024
    severity: HARM_SEVERITY_LOW
    severity_score: 0.225417078
  }
  avg_logprobs: -0.008891244219918536
}
usage_metadata {
  prompt_token_count: 4295
  candidates_token_count: 117
  total_token_count: 4412
}
model_version: ""gemini-1.5-flash-002""
","{'roomType': 'Queen Bedroom', 'bedType': 'Queen Bed', 'ratePlanInclusives': 'Free WIFI, Hot Breakfast', 'roomAmenities': 'Wireless internet connection, High Definition (HD) Flat Panel Television - 32 inches or greater', 'mealPlan': 'Breakfast', 'roomView': 'Unknown', 'taxesAndFees': 'Unknown'}",Queen Bedroom,Queen Bed,"Free WIFI, Hot Breakfast","Wireless internet connection, High Definition (HD) Flat Panel Television - 32 inches or greater",Breakfast,Unknown,Unknown
26534,26534,DBB RATE|SINGLE ROOM ENSUITE WIFI TV PARKING RIVERVIEW RESTAURANT AND BAR,Single Room,DBB RATE|SINGLE ROOM ENSUITE WIFI TV PARKING RIVERVIEW RESTAURANT AND BAR,"candidates {
  content {
    role: ""model""
    parts {
      text: ""Single Room,0.95\n""
    }
  }
  finish_reason: STOP
  avg_logprobs: -0.0010817204602062702
}
usage_metadata {
  prompt_token_count: 342
  candidates_token_count: 8
  total_token_count: 350
}
model_version: ""gemini-1.5-flash-002""
",Single Room,True,"candidates {
  content {
    role: ""model""
    parts {
      text: ""```json\n{\n  \""roomType\"": \""Single Room\"",\n  \""bedType\"": \""Single Bed\"",\n  \""ratePlanInclusives\"": [\n    \""Wireless internet connection\"",\n    \""Parking\"",\n    \""TV\""\n  ],\n  \""roomAmenities\"": [\n    \""Wireless internet connection\"",\n    \""TV\""\n  ],\n  \""mealPlan\"": \""Unknown\"",\n  \""roomView\"": \""River view\"",\n  \""taxesAndFees\"": \""Unknown\""\n}\n```\n""
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.111241356
    severity: HARM_SEVERITY_LOW
    severity_score: 0.20689407
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.0665691793
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.180106699
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: NEGLIGIBLE
    probability_score: 0.100878537
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.149035275
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: NEGLIGIBLE
    probability_score: 0.103748769
    severity: HARM_SEVERITY_LOW
    severity_score: 0.213377446
  }
  avg_logprobs: -0.011532990210646884
}
usage_metadata {
  prompt_token_count: 4292
  candidates_token_count: 109
  total_token_count: 4401
}
model_version: ""gemini-1.5-flash-002""
","{'roomType': 'Single Room', 'bedType': 'Single Bed', 'ratePlanInclusives': 'Wireless internet connection, Parking, TV', 'roomAmenities': 'Wireless internet connection, TV', 'mealPlan': 'Unknown', 'roomView': 'River view', 'taxesAndFees': 'Unknown'}",Single Room,Single Bed,"Wireless internet connection, Parking, TV","Wireless internet connection, TV",Unknown,River view,Unknown
27887,27887,2X POINTS PACKAGE|CABANA OCEANFRNT 2 QUEENS MOBILITY ACCESS TUB 35 USD RESORT CHARGE -MOB ACC TUB -STEAMER,Cabana,2X POINTS PACKAGE|CABANA OCEANFRNT 2 QUEENS MOBILITY ACCESSIBLE TUB 35 USD RESORT CHARGE -MOB ACC TUB -STEAMER,"candidates {
  content {
    role: ""model""
    parts {
      text: ""Cabana,0.9\n""
    }
  }
  finish_reason: STOP
  avg_logprobs: -0.40011484282357351
}
usage_metadata {
  prompt_token_count: 359
  candidates_token_count: 7
  total_token_count: 366
}
model_version: ""gemini-1.5-flash-002""
",Cabana,True,"candidates {
  content {
    role: ""model""
    parts {
      text: ""```json\n{\n  \""roomType\"": \""Cabana\"",\n  \""bedType\"": [\""Queen Bed\""],\n  \""ratePlanInclusives\"": [\n    \""Accessible Facilities\"",\n    \""Steam Bath\""\n  ],\n  \""roomAmenities\"": [\n    \""Accessible Facilities\"",\n    \""Steam Bath\""\n  ],\n  \""mealPlan\"": \""Unknown\"",\n  \""roomView\"": \""Ocean view\"",\n  \""taxesAndFees\"": \""Resort fee\""\n}\n```\n""
    }
  }
  finish_reason: STOP
  safety_ratings {
    category: HARM_CATEGORY_HATE_SPEECH
    probability: NEGLIGIBLE
    probability_score: 0.130285501
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.1847675
  }
  safety_ratings {
    category: HARM_CATEGORY_DANGEROUS_CONTENT
    probability: NEGLIGIBLE
    probability_score: 0.0592103265
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.147064269
  }
  safety_ratings {
    category: HARM_CATEGORY_HARASSMENT
    probability: NEGLIGIBLE
    probability_score: 0.086323753
    severity: HARM_SEVERITY_NEGLIGIBLE
    severity_score: 0.168856651
  }
  safety_ratings {
    category: HARM_CATEGORY_SEXUALLY_EXPLICIT
    probability: NEGLIGIBLE
    probability_score: 0.0780783668
    severity: HARM_SEVERITY_LOW
    severity_score: 0.203074887
  }
  avg_logprobs: -0.0055534130051022486
}
usage_metadata {
  prompt_token_count: 4309
  candidates_token_count: 105
  total_token_count: 4414
}
model_version: ""gemini-1.5-flash-002""
","{'roomType': 'Cabana', 'bedType': 'Queen Bed', 'ratePlanInclusives': 'Accessible Facilities, Steam Bath', 'roomAmenities': 'Accessible Facilities, Steam Bath', 'mealPlan': 'Unknown', 'roomView': 'Ocean view', 'taxesAndFees': 'Resort fee'}",Cabana,Queen Bed,"Accessible Facilities, Steam Bath","Accessible Facilities, Steam Bath",Unknown,Ocean view,Resort fee
